▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 607ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /ja 200 in 88ms (next.js: 7ms, proxy.ts: 8ms, application-code: 73ms)
 GET /ja 200 in 83ms (next.js: 6ms, proxy.ts: 6ms, application-code: 71ms)
 GET /ja 200 in 87ms (next.js: 12ms, proxy.ts: 6ms, application-code: 69ms)
 GET /en/patches 200 in 1084ms (next.js: 977ms, proxy.ts: 5ms, application-code: 102ms)
 GET /en/patches 200 in 88ms (next.js: 12ms, proxy.ts: 6ms, application-code: 70ms)
 GET /en/patches 200 in 70ms (next.js: 6ms, proxy.ts: 5ms, application-code: 60ms)
 GET /en/champions/Garen 200 in 1112ms (next.js: 1005ms, proxy.ts: 4ms, application-code: 102ms)
 GET /en/champions/Garen 200 in 75ms (next.js: 11ms, proxy.ts: 4ms, application-code: 60ms)
 GET /ja 200 in 90ms (next.js: 14ms, proxy.ts: 6ms, application-code: 70ms)
 GET /en 200 in 102ms (next.js: 7ms, proxy.ts: 7ms, application-code: 88ms)
 GET /ja/champions 200 in 1096ms (next.js: 1007ms, proxy.ts: 4ms, application-code: 84ms)
 GET /en/champions 200 in 74ms (next.js: 12ms, proxy.ts: 4ms, application-code: 58ms)
 GET /ja/champions/Norra 200 in 84ms (next.js: 11ms, proxy.ts: 5ms, application-code: 68ms)
 GET /en/champions/Norra 200 in 73ms (next.js: 6ms, proxy.ts: 4ms, application-code: 63ms)
 GET /ja 200 in 119ms (next.js: 15ms, proxy.ts: 6ms, application-code: 98ms)
 GET /ja 200 in 113ms (next.js: 6ms, proxy.ts: 6ms, application-code: 102ms)
 GET /ja 200 in 122ms (next.js: 43ms, proxy.ts: 6ms, application-code: 73ms)
 GET /ja 200 in 75ms (next.js: 6ms, proxy.ts: 5ms, application-code: 64ms)
 GET /ja 200 in 97ms (next.js: 8ms, proxy.ts: 7ms, application-code: 83ms)
 GET /en/patches?q=NonExistentChampionXYZ 200 in 78ms (next.js: 14ms, proxy.ts: 4ms, application-code: 59ms)
 GET /ja/patches?q=NonExistentChampionXYZ 200 in 69ms (next.js: 5ms, proxy.ts: 5ms, application-code: 58ms)
 GET /en/champions/Norra 200 in 85ms (next.js: 12ms, proxy.ts: 5ms, application-code: 67ms)
 GET /en/champions/Garen 200 in 84ms (next.js: 5ms, proxy.ts: 17ms, application-code: 63ms)
 GET /en/champions/Garen 200 in 73ms (next.js: 5ms, proxy.ts: 4ms, application-code: 63ms)
 GET /en/champions/InvalidChampionName123 200 in 81ms (next.js: 5ms, proxy.ts: 4ms, application-code: 71ms)
 GET /en/patches?q=Garen%27s 200 in 66ms (next.js: 6ms, proxy.ts: 5ms, application-code: 55ms)
 GET /en/patches 200 in 79ms (next.js: 11ms, proxy.ts: 4ms, application-code: 64ms)
 GET /en/calculator 200 in 998ms (next.js: 908ms, proxy.ts: 5ms, application-code: 84ms)
 GET /en/calculator 200 in 102ms (next.js: 12ms, proxy.ts: 4ms, application-code: 86ms)
 GET /ja/calculator 200 in 101ms (next.js: 7ms, proxy.ts: 7ms, application-code: 87ms)
 GET /ja 200 in 92ms (next.js: 12ms, proxy.ts: 4ms, application-code: 76ms)
 GET /en 200 in 78ms (next.js: 5ms, proxy.ts: 4ms, application-code: 68ms)
 GET /en/patches 200 in 90ms (next.js: 16ms, proxy.ts: 5ms, application-code: 69ms)
 GET /ja/champions/Norra 200 in 94ms (next.js: 14ms, proxy.ts: 6ms, application-code: 74ms)
 GET /en/calculator 200 in 111ms (next.js: 12ms, proxy.ts: 4ms, application-code: 94ms)
 GET /en/patches 200 in 80ms (next.js: 7ms, proxy.ts: 6ms, application-code: 66ms)
 GET /en 200 in 111ms (next.js: 18ms, proxy.ts: 8ms, application-code: 86ms)
 GET /en/champions 200 in 97ms (next.js: 12ms, proxy.ts: 5ms, application-code: 80ms)
 GET /ja/patches?q=Norra 200 in 137ms (next.js: 18ms, proxy.ts: 8ms, application-code: 111ms)
 GET /en/calculator 200 in 118ms (next.js: 8ms, proxy.ts: 6ms, application-code: 104ms)
 GET /en/champions 200 in 71ms (next.js: 6ms, proxy.ts: 4ms, application-code: 61ms)
 GET /ja/champions 200 in 90ms (next.js: 6ms, proxy.ts: 4ms, application-code: 81ms)
 GET /ja 200 in 93ms (next.js: 14ms, proxy.ts: 4ms, application-code: 75ms)
 GET /en 200 in 73ms (next.js: 5ms, proxy.ts: 4ms, application-code: 64ms)
 GET /ja/champions 200 in 82ms (next.js: 16ms, proxy.ts: 5ms, application-code: 61ms)
 GET /en/patches 200 in 97ms (next.js: 16ms, proxy.ts: 5ms, application-code: 77ms)
 GET /ja/calculator 200 in 101ms (next.js: 12ms, proxy.ts: 5ms, application-code: 84ms)
 GET /en/champions/Garen 200 in 107ms (next.js: 15ms, proxy.ts: 5ms, application-code: 87ms)
 GET /ja/champions/Garen 200 in 107ms (next.js: 8ms, proxy.ts: 5ms, application-code: 94ms)
 GET /ja 200 in 96ms (next.js: 16ms, proxy.ts: 6ms, application-code: 74ms)
▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 506ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /ja 200 in 885ms (next.js: 494ms, proxy.ts: 7ms, application-code: 384ms)
 GET /en 200 in 90ms (next.js: 12ms, proxy.ts: 6ms, application-code: 72ms)
 GET /en 200 in 84ms (next.js: 5ms, proxy.ts: 5ms, application-code: 74ms)
 GET /ja 200 in 107ms (next.js: 12ms, proxy.ts: 10ms, application-code: 85ms)
 GET /ja 200 in 75ms (next.js: 6ms, proxy.ts: 5ms, application-code: 64ms)
 GET /ja 200 in 84ms (next.js: 5ms, proxy.ts: 5ms, application-code: 74ms)
